"","Parameter","Coefficient","SE","CI","CI_low","CI_high","z","df_error","p"
"1","(Intercept)",-6.99122275454079,10191.514890617,0.95,-19981.9933562676,19968.0109107585,-0.000685984647971948,Inf,0.999452663483363
"2","emp_ratio",3.77598359198434e-16,159.959219346389,0.95,-313.514308914065,313.514308914065,2.36059141036911e-18,Inf,1
"3","wkrs",-6.06630060005693e-23,2.53277005182981e-05,0.95,-4.96413808270807e-05,4.96413808270807e-05,-2.39512489326629e-18,Inf,1
