"","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"1","(Intercept)",74.4531517281351,0.751643493187461,0.95,72.9783945387667,75.9279089175035,99.0538099550425,1142,0
"2","IncGrp",-7.46249211010552,0.405123147869843,0.95,-8.25736132711555,-6.66762289309549,-18.4203054042793,1142,1.51589006133849e-66
