"","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"1","(Intercept)",82.0920976119384,0.805586325475652,0.95,80.5114476565065,83.6727475673703,101.903539094296,1106,0
"2","IncGrp",-8.78707816161604,0.526645740897461,0.95,-9.8204156706489,-7.75374065258317,-16.684988559182,1106,6.42073902342566e-56
"3","gdp_pc_k",-0.0161918609729496,0.000927183789940345,0.95,-0.01801109867585,-0.0143726232700491,-17.4634858251689,1106,1.6744325387171e-60
"4","IncGrp:gdp_pc_k",0.00484574712953745,0.000258660522593277,0.95,0.00433822641998762,0.00535326783908729,18.7340034766612,1106,3.14341868602096e-68
