"","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"1","(Intercept)","2612.48379","230.73122","0.95","2156.95784","3068.00973","11.322628","167","2.040015e-22"
"2","pov_rate_1day","-33.16657","4.43376","0.95","-41.92002","-24.41313","-7.480463","167","4.009251e-12"
